City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches,Snow Inches
0,Sfantu Gheorghe,RO,2020-05-12 03:54:28,45.87,25.78,55.81,85,87,5.39,overcast clouds,0.0,0.0
1,Conde,BR,2020-05-12 03:54:29,-7.26,-34.91,75.2,100,20,5.82,few clouds,0.0,0.0
2,Butaritari,KI,2020-05-12 03:50:08,3.07,172.79,84.06,76,57,11.97,broken clouds,0.0,0.0
3,Atuona,PF,2020-05-12 03:54:29,-9.8,-139.03,80.19,74,53,17.9,broken clouds,0.0,0.0
4,Harper,LR,2020-05-12 03:51:25,4.38,-7.72,78.37,88,100,9.26,light rain,0.15,0.0
5,Lazi,UA,2020-05-12 03:54:29,48.07,24.23,53.38,84,52,8.39,light rain,0.15,0.0
6,Coihaique,CL,2020-05-12 03:54:29,-45.58,-72.07,46.4,81,75,6.93,light rain,0.0,0.0
7,Dunedin,NZ,2020-05-12 03:53:40,-45.87,170.5,57.99,66,100,1.95,overcast clouds,0.0,0.0
8,Tuatapere,NZ,2020-05-12 03:54:29,-46.13,167.68,53.78,69,6,3.24,clear sky,0.0,0.0
9,Sakakah,SA,2020-05-12 03:54:30,29.97,40.21,69.8,14,0,5.82,clear sky,0.0,0.0
10,Busselton,AU,2020-05-12 03:54:30,-33.65,115.33,61.0,70,100,1.99,overcast clouds,0.0,0.0
11,Codo,BR,2020-05-12 03:54:30,-4.46,-43.89,73.9,93,0,2.15,clear sky,0.0,0.0
12,Frankfort,ZA,2020-05-12 03:54:30,-27.27,28.48,46.24,54,0,4.09,clear sky,0.0,0.0
13,Mollendo,PE,2020-05-12 03:54:30,-17.02,-72.01,63.91,78,43,4.72,scattered clouds,0.0,0.0
14,Ereymentau,KZ,2020-05-12 03:54:30,51.62,73.1,75.61,25,0,2.86,clear sky,0.0,0.0
15,Mataura,NZ,2020-05-12 03:50:08,-46.19,168.86,52.38,71,100,1.59,overcast clouds,0.0,0.0
16,Valladolid,ES,2020-05-12 03:54:30,41.58,-4.67,52.0,93,75,2.24,broken clouds,0.0,0.0
17,Rikitea,PF,2020-05-12 03:54:31,-23.12,-134.97,74.25,67,0,5.39,clear sky,0.0,0.0
18,Lebu,CL,2020-05-12 03:54:31,-37.62,-73.65,51.39,85,71,11.12,broken clouds,0.0,0.0
19,Barrow,US,2020-05-12 03:50:02,71.29,-156.79,28.4,86,90,23.04,overcast clouds,0.0,0.0
20,Pacifica,US,2020-05-12 03:54:31,37.61,-122.49,59.0,100,90,14.99,mist,0.25,0.0
21,Arraial Do Cabo,BR,2020-05-12 03:50:11,-22.97,-42.03,71.67,80,0,21.3,clear sky,0.0,0.0
22,Norman Wells,CA,2020-05-12 03:54:31,65.28,-126.83,55.4,88,20,12.75,few clouds,0.0,0.0
23,Castro,BR,2020-05-12 03:54:31,-24.79,-50.01,56.71,92,4,5.01,clear sky,0.0,0.0
24,Clausthal-Zellerfeld,DE,2020-05-12 03:54:32,51.8,10.33,30.99,88,2,2.82,clear sky,0.0,0.0
25,Saint-Philippe,RE,2020-05-12 03:54:33,-21.36,55.77,69.8,60,75,5.82,broken clouds,0.0,0.0
26,Richards Bay,ZA,2020-05-12 03:49:58,-28.78,32.04,63.99,58,0,7.31,clear sky,0.0,0.0
27,Airai,TL,2020-05-12 03:54:33,-8.93,125.41,67.86,94,96,3.96,light rain,0.5,0.0
28,Bam,IR,2020-05-12 03:54:34,29.11,58.36,89.08,11,100,7.2,overcast clouds,0.0,0.0
29,Port Alfred,ZA,2020-05-12 03:54:34,-33.59,26.89,64.0,86,62,8.48,broken clouds,0.0,0.0
30,Punta Arenas,CL,2020-05-12 03:54:35,-53.15,-70.92,33.8,86,0,10.29,clear sky,0.0,0.0
31,Portland,US,2020-05-12 03:53:13,45.52,-122.68,55.4,82,1,3.36,light rain,0.25,0.0
32,Santo Antonio Do Ica,BR,2020-05-12 03:54:35,-3.1,-67.94,74.37,97,97,2.15,light rain,0.53,0.0
33,Ushuaia,AR,2020-05-12 03:50:56,-54.8,-68.3,39.2,86,75,24.16,broken clouds,0.0,0.0
34,Qaanaaq,GL,2020-05-12 03:54:35,77.48,-69.36,10.26,72,0,3.36,clear sky,0.0,0.0
35,Chokurdakh,RU,2020-05-12 03:54:35,70.63,147.92,31.91,99,75,9.31,broken clouds,0.0,0.0
36,Marawi,PH,2020-05-12 03:54:35,8.0,124.29,86.0,79,99,5.99,light rain,0.44,0.0
37,Mar Del Plata,AR,2020-05-12 03:54:35,-38.0,-57.56,51.01,93,37,8.05,scattered clouds,0.0,0.0
38,Dingle,PH,2020-05-12 03:50:17,11.0,122.67,92.12,55,77,6.4,light rain,0.69,0.0
39,Turayf,SA,2020-05-12 03:54:36,31.67,38.66,59.0,41,0,9.17,clear sky,0.0,0.0
40,Bredasdorp,ZA,2020-05-12 03:54:36,-34.53,20.04,59.0,87,100,2.24,overcast clouds,0.0,0.0
41,Codajas,BR,2020-05-12 03:54:36,-3.84,-62.06,75.18,89,1,1.77,clear sky,0.0,0.0
42,Nijar,ES,2020-05-12 03:54:36,36.97,-2.21,64.4,77,100,10.29,overcast clouds,0.0,0.0
43,Ribeira Grande,PT,2020-05-12 03:49:58,38.52,-28.7,59.38,77,100,23.02,overcast clouds,0.0,0.0
44,Kaitangata,NZ,2020-05-12 03:54:36,-46.28,169.85,55.0,62,100,1.99,overcast clouds,0.0,0.0
45,Provideniya,RU,2020-05-12 03:54:36,64.38,-173.3,41.0,80,46,4.47,scattered clouds,0.0,0.0
46,Brae,GB,2020-05-12 03:54:36,60.4,-1.35,37.4,81,96,12.75,light rain,0.0,0.0
47,Bluff,NZ,2020-05-12 03:54:37,-46.6,168.33,52.36,72,10,12.8,clear sky,0.0,0.0
48,Namibe,AO,2020-05-12 03:54:37,-15.2,12.15,78.15,42,8,7.61,clear sky,0.0,0.0
49,Hermanus,ZA,2020-05-12 03:54:37,-34.42,19.23,57.0,92,98,8.1,overcast clouds,0.0,0.0
50,Rundu,NA,2020-05-12 03:54:37,-17.93,19.77,60.8,38,77,4.09,broken clouds,0.0,0.0
51,Margate,GB,2020-05-12 03:54:37,51.38,1.39,44.01,66,61,1.01,broken clouds,0.0,0.0
52,Cabo San Lucas,MX,2020-05-12 03:54:37,22.89,-109.91,80.6,21,20,14.47,few clouds,0.0,0.0
53,Petropavlovsk-Kamchatskiy,RU,2020-05-12 03:54:38,53.05,158.65,50.0,37,50,13.42,scattered clouds,0.0,0.0
54,Port Hedland,AU,2020-05-12 03:54:38,-20.32,118.57,87.8,29,0,12.75,clear sky,0.0,0.0
55,Chifeng,CN,2020-05-12 03:54:38,42.27,118.96,63.63,25,10,20.87,clear sky,0.0,0.0
56,Quelimane,MZ,2020-05-12 03:51:52,-17.88,36.89,62.6,93,20,3.36,few clouds,0.0,0.0
57,San Carlos De Bariloche,AR,2020-05-12 03:54:39,-41.15,-71.31,42.8,60,75,13.87,broken clouds,0.0,0.0
58,Port Elizabeth,ZA,2020-05-12 03:54:39,-33.92,25.57,62.6,77,75,4.7,broken clouds,0.0,0.0
59,Khatanga,RU,2020-05-12 03:50:01,71.97,102.5,26.13,98,57,8.12,broken clouds,0.0,0.0
60,Tagusao,PH,2020-05-12 03:54:39,9.19,117.81,87.55,65,57,5.44,broken clouds,0.0,0.0
61,Anadyr,RU,2020-05-12 03:54:40,64.75,177.48,37.4,86,90,4.47,overcast clouds,0.0,0.0
62,Mount Isa,AU,2020-05-12 03:50:21,-20.73,139.5,82.4,20,0,6.93,clear sky,0.0,0.0
63,Giovinazzo,IT,2020-05-12 03:54:41,41.19,16.67,64.0,67,0,10.29,clear sky,0.0,0.0
64,Bathsheba,BB,2020-05-12 03:50:52,13.22,-59.52,80.6,74,40,23.04,scattered clouds,0.0,0.0
65,Vaini,TO,2020-05-12 03:54:42,-21.2,-175.2,80.6,69,20,6.93,few clouds,0.0,0.0
66,Severo-Kurilsk,RU,2020-05-12 03:54:42,50.68,156.12,37.33,80,44,13.58,scattered clouds,0.0,0.0
67,Laguna,US,2020-05-12 03:54:42,38.42,-121.42,62.01,87,90,13.87,moderate rain,1.27,0.0
68,Puerto Ayora,EC,2020-05-12 03:54:42,-0.74,-90.35,75.99,95,87,3.0,overcast clouds,0.0,0.0
